DateTime,Date,Time,Month,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,QV
2020-01-02 20:00,2020-01-02,20:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
2020-01-02 21:00,2020-01-02,21:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
2020-01-02 22:00,2020-01-02,22:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33
2020-01-02 23:00,2020-01-02,23:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35
2020-01-03 00:00,2020-01-03,00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37
2020-01-03 01:00,2020-01-03,01:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37
2020-01-03 02:00,2020-01-03,02:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37
2020-01-03 03:00,2020-01-03,03:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37
2020-01-03 04:00,2020-01-03,04:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37
2020-01-03 05:00,2020-01-03,05:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.5
2020-01-03 06:00,2020-01-03,06:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
2020-01-03 07:00,2020-01-03,07:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
2020-01-03 08:00,2020-01-03,08:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
2020-01-03 09:00,2020-01-03,09:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
2020-01-03 10:00,2020-01-03,10:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
2020-01-03 11:00,2020-01-03,11:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
2020-01-03 12:00,2020-01-03,12:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
2020-01-03 13:00,2020-01-03,13:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
2020-01-03 14:00,2020-01-03,14:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
2020-01-03 15:00,2020-01-03,15:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
2020-01-03 16:00,2020-01-03,16:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
2020-01-03 17:00,2020-01-03,17:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
2020-01-03 18:00,2020-01-03,18:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
2020-01-03 19:00,2020-01-03,19:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
2020-01-03 20:00,2020-01-03,20:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
2020-01-03 21:00,2020-01-03,21:00,1,0,0.2,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,30
2020-01-03 22:00,2020-01-03,22:00,1,0,0.2,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,30
2020-01-03 23:00,2020-01-03,23:00,1,0,0.2,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,31
2020-01-04 00:00,2020-01-04,00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
2020-01-04 01:00,2020-01-04,01:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
2020-01-04 02:00,2020-01-04,02:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
2020-01-04 03:00,2020-01-04,03:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
2020-01-04 04:00,2020-01-04,04:00,1,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
2020-01-04 05:00,2020-01-04,05:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
2020-01-04 06:00,2020-01-04,06:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
